idade,sexo,tempo_como_cliente,frequencia_uso,ligacoes_callcenter,dias_atraso,assinatura,duracao_contrato,total_gasto,meses_ultima_interacao,cancelou
47,Masculino,25,1,2,1,Prêmio,Anual,534,27,Não
26,Masculino,45,4,1,19,Prêmio,Anual,787,26,Não
29,Masculino,17,8,0,10,Prêmio,Trimestral,181,10,Sim
20,Masculino,27,7,2,18,Prêmio,Trimestral,533,1,Não
42,Masculino,45,7,0,14,Prêmio,Anual,555,26,Não
30,Masculino,9,8,1,5,Básico,Anual,321,12,Sim
40,Masculino,32,9,2,3,Prêmio,Trimestral,149,25,Sim
25,Masculino,50,10,1,13,Prêmio,Anual,410,23,Sim
21,Masculino,28,7,0,16,Básico,Anual,942,29,Não
50,Masculino,30,1,4,16,Padrão,Trimestral,198,6,Sim
41,Feminino,9,10,2,19,Prêmio,Anual,546,12,Não
28,Masculino,36,9,3,4,Prêmio,Anual,637,25,Sim
29,Masculino,51,5,0,1,Prêmio,Anual,633,19,Não
31,Masculino,29,10,2,15,Prêmio,Anual,902,18,Não
21,Masculino,1,9,2,9,Básico,Trimestral,526,12,Sim
24,Masculino,5,2,2,15,Básico,Trimestral,249,23,Sim
38,Feminino,1,4,1,16,Prêmio,Anual,746,8,Não
31,Masculino,41,4,0,3,Básico,Trimestral,169,27,Sim
34,Feminino,34,10,2,5,Básico,Anual,604,4,Não
21,Masculino,36,9,1,15,Padrão,Anual,915,1,Não
27,Masculino,9,7,4,6,Padrão,Trimestral,680,13,Sim
28,Masculino,24,9,1,7,Padrão,Trimestral,558,17,Sim
36,Masculino,13,10,2,15,Prêmio,Trimestral,759,12,Não
39,Masculino,57,7,2,6,Prêmio,Trimestral,354,6,Sim
49,Masculino,22,4,1,3,Prêmio,Trimestral,456,14,Sim
28,Masculino,20,8,3,19,Básico,Anual,395,4,Sim
39,Masculino,49,3,0,4,Padrão,Anual,937,26,Não
31,Masculino,33,9,3,7,Prêmio,Trimestral,771,1,Não
32,Masculino,25,2,1,13,Prêmio,Anual,537,5,Não
39,Feminino,31,8,3,18,Básico,Trimestral,801,15,Não
27,Masculino,18,2,2,16,Prêmio,Trimestral,494,20,Sim
48,Feminino,8,10,3,2,Padrão,Anual,766,14,Não
25,Masculino,44,2,4,9,Prêmio,Trimestral,970,16,Sim
44,Masculino,3,3,2,5,Padrão,Anual,872,11,Não
40,Masculino,5,8,0,12,Básico,Trimestral,199,3,Sim
33,Masculino,58,4,1,1,Básico,Trimestral,704,21,Não
30,Feminino,54,6,2,13,Padrão,Trimestral,753,5,Não
29,Masculino,14,4,0,18,Básico,Trimestral,620,25,Sim
48,Masculino,47,3,4,20,Padrão,Anual,608,1,Não
34,Masculino,57,5,1,15,Básico,Trimestral,899,16,Não
46,Masculino,8,9,0,9,Padrão,Anual,486,19,Sim
50,Masculino,45,9,0,14,Básico,Anual,424,26,Sim
49,Masculino,52,4,2,16,Padrão,Trimestral,796,26,Não
40,Masculino,41,9,0,20,Básico,Anual,364,28,Sim
47,Feminino,49,7,1,2,Prêmio,Trimestral,721,14,Não
18,Masculino,5,4,0,2,Padrão,Anual,934,10,Não
23,Masculino,24,2,4,16,Básico,Trimestral,547,26,Sim
45,Masculino,16,6,1,1,Padrão,Anual,952,1,Sim
41,Masculino,59,3,4,2,Básico,Trimestral,175,10,Sim
45,Masculino,39,9,2,10,Básico,Trimestral,334,20,Sim
21,Masculino,43,1,0,16,Padrão,Trimestral,933,22,Não
30,Masculino,46,8,0,2,Prêmio,Trimestral,716,25,Não
46,Masculino,37,5,0,16,Padrão,Trimestral,366,10,Sim
23,Masculino,3,8,4,4,Prêmio,Trimestral,142,28,Sim
30,Masculino,27,1,2,10,Básico,Trimestral,129,2,Sim
30,Masculino,19,8,0,0,Prêmio,Trimestral,851,21,Sim
25,Masculino,24,1,4,13,Básico,Anual,618,12,Sim
19,Masculino,59,3,1,16,Básico,Trimestral,693,14,Não
22,Masculino,13,9,1,2,Padrão,Anual,937,8,Sim
38,Masculino,23,4,1,4,Padrão,Anual,699,4,Sim
24,Masculino,55,4,0,12,Padrão,Trimestral,929,14,Não
19,Masculino,8,10,0,7,Padrão,Anual,568,6,Não
36,Masculino,47,10,0,6,Padrão,Trimestral,822,25,Não
22,Masculino,49,4,2,11,Prêmio,Anual,896,18,Não
28,Feminino,43,3,1,2,Padrão,Trimestral,597,5,Não
41,Masculino,9,2,3,5,Padrão,Anual,440,25,Sim
22,Masculino,52,6,1,4,Padrão,Anual,704,17,Não
40,Masculino,60,4,0,19,Padrão,Anual,955,23,Não
23,Masculino,33,4,3,15,Padrão,Trimestral,732,20,Sim
48,Masculino,13,10,0,18,Padrão,Trimestral,716,25,Não
42,Masculino,52,3,4,6,Padrão,Trimestral,889,19,Não
36,Feminino,4,4,1,16,Padrão,Trimestral,679,15,Não
32,Masculino,14,7,4,16,Básico,Anual,203,10,Sim
21,Masculino,39,8,4,20,Básico,Anual,908,15,Sim
29,Masculino,12,7,0,16,Básico,Trimestral,303,23,Sim
24,Masculino,55,1,3,8,Básico,Anual,762,27,Sim
35,Masculino,8,4,1,13,Padrão,Anual,444,18,Sim
39,Feminino,27,3,3,17,Padrão,Trimestral,812,8,Não
24,Masculino,17,7,1,7,Prêmio,Trimestral,136,18,Sim
32,Masculino,3,7,3,16,Padrão,Trimestral,254,19,Sim
32,Masculino,48,4,1,15,Padrão,Trimestral,990,16,Não
35,Feminino,52,10,1,12,Prêmio,Anual,788,2,Não
18,Masculino,15,10,4,20,Básico,Trimestral,758,8,Sim
24,Masculino,25,9,0,14,Básico,Trimestral,415,5,Sim
38,Feminino,7,10,1,6,Padrão,Trimestral,825,13,Não
21,Masculino,60,1,1,8,Básico,Anual,234,23,Sim
39,Masculino,19,3,1,6,Prêmio,Anual,741,5,Sim
35,Feminino,4,8,0,8,Prêmio,Anual,565,6,Não
31,Feminino,26,9,2,2,Básico,Trimestral,933,9,Não
21,Masculino,56,4,4,8,Padrão,Trimestral,819,21,Sim
18,Masculino,3,9,1,4,Básico,Anual,185,16,Sim
26,Masculino,32,9,2,0,Básico,Trimestral,319,10,Sim
48,Masculino,37,5,0,7,Básico,Trimestral,222,25,Sim
44,Masculino,44,10,0,3,Básico,Trimestral,940,2,Não
47,Feminino,59,4,1,18,Prêmio,Trimestral,829,13,Não
18,Masculino,10,6,2,20,Básico,Trimestral,348,19,Sim
21,Masculino,20,2,2,5,Padrão,Trimestral,627,17,Sim
32,Masculino,16,9,1,3,Padrão,Anual,519,14,Sim
49,Feminino,31,5,3,12,Básico,Anual,622,10,Não
29,Masculino,59,3,4,1,Prêmio,Anual,306,22,Sim
40,Masculino,20,1,3,3,Básico,Anual,148,8,Sim
32,Masculino,45,8,2,9,Prêmio,Trimestral,348,1,Sim
42,Masculino,49,4,3,4,Prêmio,Anual,508,9,Não
35,Masculino,2,10,3,1,Padrão,Trimestral,878,1,Não
43,Feminino,45,5,4,12,Prêmio,Anual,945,3,Não
21,Masculino,1,2,0,19,Padrão,Anual,578,25,Não
41,Masculino,32,8,1,4,Padrão,Trimestral,132,23,Sim
45,Masculino,30,4,2,13,Básico,Trimestral,113,1,Sim
32,Masculino,25,9,4,8,Padrão,Anual,366,17,Sim
23,Masculino,21,10,1,8,Básico,Trimestral,772,16,Não
35,Masculino,1,6,0,11,Padrão,Anual,926,2,Não
21,Masculino,58,8,4,3,Prêmio,Anual,770,12,Sim
49,Feminino,49,9,4,16,Básico,Anual,821,12,Não
49,Feminino,11,4,4,11,Básico,Trimestral,579,5,Não
49,Masculino,21,10,2,19,Prêmio,Anual,331,19,Sim
20,Masculino,2,1,3,5,Básico,Anual,518,7,Sim
44,Masculino,56,10,2,13,Padrão,Trimestral,177,15,Sim
47,Masculino,35,10,1,18,Básico,Trimestral,366,30,Sim
41,Masculino,42,3,1,16,Padrão,Trimestral,599,21,Não
21,Feminino,39,10,0,20,Básico,Trimestral,866,11,Não
47,Masculino,39,8,1,8,Padrão,Trimestral,802,25,Não
47,Masculino,15,9,2,4,Prêmio,Trimestral,302,22,Sim
32,Masculino,54,5,2,9,Básico,Trimestral,532,24,Não
22,Masculino,5,5,4,11,Prêmio,Anual,897,1,Sim
49,Masculino,12,3,4,15,Prêmio,Anual,908,16,Sim
19,Masculino,55,8,0,4,Prêmio,Anual,918,27,Não
22,Masculino,57,6,1,13,Padrão,Anual,629,5,Não
33,Masculino,32,2,0,1,Prêmio,Anual,286,4,Sim
35,Masculino,17,3,0,11,Básico,Trimestral,187,19,Sim
34,Feminino,54,3,3,3,Padrão,Anual,805,2,Não
42,Masculino,56,9,3,3,Prêmio,Trimestral,196,26,Sim
45,Masculino,52,2,2,4,Prêmio,Trimestral,153,10,Sim
35,Feminino,52,5,3,1,Padrão,Trimestral,663,9,Não
33,Masculino,60,1,3,7,Básico,Anual,576,19,Não
49,Masculino,56,2,0,17,Básico,Trimestral,312,11,Sim
48,Feminino,32,1,1,19,Prêmio,Anual,775,14,Não
38,Masculino,33,8,2,11,Básico,Trimestral,259,2,Sim
33,Masculino,51,2,0,5,Básico,Anual,350,13,Sim
42,Masculino,4,2,0,0,Padrão,Trimestral,284,14,Sim
42,Masculino,19,3,4,13,Prêmio,Trimestral,806,26,Sim
49,Masculino,18,7,2,19,Básico,Trimestral,373,19,Sim
43,Feminino,7,6,3,14,Padrão,Trimestral,849,8,Não
22,Masculino,20,9,2,4,Prêmio,Anual,233,28,Sim
19,Masculino,59,4,1,0,Prêmio,Anual,492,23,Sim
32,Masculino,54,2,2,5,Básico,Trimestral,971,25,Não
23,Masculino,6,4,2,9,Básico,Trimestral,845,8,Não
39,Masculino,14,1,1,8,Prêmio,Anual,854,28,Sim
29,Masculino,24,7,0,4,Padrão,Trimestral,940,26,Sim
